nbr_ba_id,var_ba_nombre,"var_ba_status",nbr_pol_id
1,San Diego,"En vigencia",1
2,Mariscal Sucre,"En vigencia",2
3,San Roque,"En vigencia",3
4,San Diego,"En vigencia",4
5,San Diego,"En vigencia",5
6,San Diego,"En vigencia",6
7,San Diego,"En vigencia",7
8,Calderón,"En vigencia",8
9,San Diego,"En vigencia",9
10,Chilibulo,"En vigencia",10
11,San Diego,"En vigencia",11
12,San Diego,"En vigencia",12
13,San Diego,"En vigencia",13
14,Calderón,"En vigencia",14
15,Kennedy,"En vigencia",15
16,San Diego,"En vigencia",16
17,San Diego,"En vigencia",17
18,Mariscal Sucre,"En vigencia",18
19,San Diego,"En vigencia",19
20,San Roque,"En vigencia",20
21,Quitumbe,"En vigencia",21
22,Chimbacalle,"En vigencia",22
23,San Diego,"En vigencia",23
24,San Roque,"No existe",24
25,Comité del Pueblo,"En vigencia",25
26,San Diego,"En vigencia",26
27,Solanda,"En vigencia",27
28,San Diego,"En vigencia",28
29,San Roque,"En vigencia",29
30,La Concepción,"En vigencia",30
31,Calderón,"En vigencia",31
32,San Diego,"En vigencia",32
33,San Diego,"En vigencia",33
34,San Diego,"En vigencia",34
35,San Diego,"En vigencia",35
36,San Diego,"En vigencia",36
37,San Diego,"En vigencia",37
38,San Diego,"En vigencia",38
39,La Argelia,"En vigencia",39
40,San Diego,"En vigencia",40
41,San Diego,"En vigencia",41
42,San Diego,"En vigencia",42
43,San Diego,"En vigencia",43
44,San Diego,"En vigencia",44
45,San Diego,"En vigencia",45
46,San Diego,"En vigencia",46
47,San Diego,"En vigencia",47
48,San Diego,"En vigencia",48
49,San Roque,"En vigencia",49
50,San Roque,"En vigencia",50
51,Ponceano,"En vigencia",51
52,San Diego,"En vigencia",52
53,San Diego,"En vigencia",53
54,Comité del Pueblo,"En vigencia",54
55,San Diego,"En vigencia",55
56,San Roque,"En vigencia",56
57,San Roque,"En vigencia",57
58,San Diego,"En vigencia",58
59,San Diego,"En vigencia",59
60,San Diego,"En vigencia",60
61,San Diego,"En vigencia",61
62,Solanda,"En vigencia",62
63,San Diego,"En vigencia",63
64,San Diego,"En vigencia",64
65,La Magdalena,"En vigencia",65
66,La Libertad,"En vigencia",66
67,San Diego,"En vigencia",67
68,San Diego,"En vigencia",68
69,San Roque,"En vigencia",69
70,San Diego,"En vigencia",70
71,Guamaní,"En vigencia",71
72,San Diego,"En vigencia",72
73,San Diego,"En vigencia",73
74,San Diego,"En vigencia",74
75,San Diego,"En vigencia",75
76,San Diego,"En vigencia",76
77,San Bartolo,"En vigencia",77
78,San Diego,"No existe",78
79,San Diego,"En vigencia",79
80,San Diego,"En vigencia",80
81,San Diego,"En vigencia",81
82,San Diego,"En vigencia",82
83,La Argelia,"En vigencia",83
84,La Concepción,"En vigencia",84
85,San Diego,"En vigencia",85
86,San Diego,"En vigencia",86
87,San Diego,"En vigencia",87
88,San Diego,"En vigencia",88
89,El Condado,"En vigencia",89
90,San Diego,"En vigencia",90
91,San Diego,"En vigencia",91
92,San Diego,"En vigencia",92
93,San Diego,"En vigencia",93
94,San Diego,"En vigencia",94
95,San Roque,"En vigencia",95
96,San Diego,"En vigencia",96
97,San Diego,"En vigencia",97
98,San Diego,"En vigencia",98
99,Kennedy,"En vigencia",99
100,El Condado,"En vigencia",100
101,San Diego,"En vigencia",101
102,San Roque,"En vigencia",102
103,Solanda,"En vigencia",103
104,La Ecuatoriana,"En vigencia",104
105,San Roque,"En vigencia",105
106,San Roque,"En vigencia",106
107,San Diego,"En vigencia",107
108,Guamaní,"En vigencia",108
109,San Diego,"En vigencia",109
110,San Diego,"En vigencia",110
111,Chilibulo,"En vigencia",111
112,San Diego,"En vigencia",112
113,San Diego,"En vigencia",113
114,La Ecuatoriana,"En vigencia",114
115,Calderón,"En vigencia",115
116,San Roque,"En vigencia",116
117,San Diego,"En vigencia",117
118,San Diego,"En vigencia",118
119,San Roque,"En vigencia",119
120,La Ecuatoriana,"En vigencia",120
121,La Magdalena,"En vigencia",121
122,San Roque,"En vigencia",122
123,San Diego,"En vigencia",123
124,Calderón,"En vigencia",124
125,Calderón,"En vigencia",125
126,San Roque,"En vigencia",126
127,San Diego,"En vigencia",127
128,San Diego,"En vigencia",128
129,Centro Histórico,"En vigencia",129
130,San Diego,"En vigencia",130
131,Chimbacalle,"En vigencia",131
132,La Magdalena,"En vigencia",132
133,San Diego,"En vigencia",133
134,Cotocollao,"En vigencia",134
135,San Diego,"En vigencia",135
136,Chimbacalle,"En vigencia",136
137,Guamaní,"En vigencia",137
138,San Diego,"En vigencia",138
139,San Diego,"En vigencia",139
140,San Diego,"En vigencia",140
141,San Roque,"En vigencia",141
142,San Diego,"En vigencia",142
143,San Diego,"En vigencia",143
144,San Diego,"En vigencia",144
145,San Diego,"En vigencia",145
146,El Condado,"En vigencia",146
147,San Diego,"En vigencia",147
148,San Diego,"En vigencia",148
149,Iñaquito,"En vigencia",149
150,San Diego,"En vigencia",150
151,La Magdalena,"En vigencia",151
152,Solanda,"En vigencia",152
153,San Diego,"En vigencia",153
154,San Diego,"En vigencia",154
