nbr_ciu_id,var_ciu_nombre,var_ciu_status,nbr_parro_id
1,Quito,En vigencia,1
2,Quito,En vigencia,2
3,Tabacundo,En vigencia,3
4,Quito,No existe,4
5,Quito,En vigencia,5
6,Quito,En vigencia,6
7,Quito,En vigencia,7
8,Quito,En vigencia,8
9,Quito,En vigencia,9
10,Quito,En vigencia,10
11,Quito,En vigencia,11
12,Quito,En vigencia,12
13,Sangolquí,En vigencia,13
14,Sangolquí,En vigencia,14
15,Machachi,En vigencia,15
16,San Miguel De Los Bancos,En vigencia,16
17,Cayambe,En vigencia,17
18,Quito,En vigencia,18
19,Quito,En vigencia,19
20,Quito,En vigencia,20
21,Quito,En vigencia,21
22,Quito,En vigencia,22
23,Quito,En vigencia,23
24,San Miguel De Los Bancos,En vigencia,24
25,Quito,En vigencia,25
26,Quito,En vigencia,26
27,Tabacundo,En vigencia,27
28,Quito,En vigencia,28
29,Quito,En vigencia,29
30,Aloag,En vigencia,30
31,Quito,En vigencia,31
32,Quito,No existe,32
33,Quito,En vigencia,33
34,San Miguel De Los Bancos,En vigencia,34
35,Quito,En vigencia,35
36,Quito,En vigencia,36
37,Quito,En vigencia,37
38,Quito,En vigencia,38
39,Quito,En vigencia,39
40,Quito,En vigencia,40
41,Aloag,En vigencia,41
42,Cayambe,En vigencia,42
43,Quito,En vigencia,43
44,Tabacundo,En vigencia,44
45,Quito,En vigencia,45
46,Quito,En vigencia,46
47,Quito,En vigencia,47
48,Cayambe,En vigencia,48
49,Cayambe,En vigencia,49
50,Quito,En vigencia,50
51,Machachi,En vigencia,51
52,Quito,En vigencia,52
53,Quito,En vigencia,53
54,Quito,En vigencia,54
55,Quito,En vigencia,55
56,Tabacundo,En vigencia,56
57,Quito,En vigencia,57
58,Quito,En vigencia,58
59,Tabacundo,En vigencia,59
60,Quito,En vigencia,60
61,San Miguel De Los Bancos,En vigencia,61
62,Quito,En vigencia,62
63,Quito,En vigencia,63
64,Quito,En vigencia,64
65,Quito,En vigencia,65
66,Quito,En vigencia,66
67,Quito,En vigencia,67
68,Quito,En vigencia,68
69,Quito,En vigencia,69
70,Quito,En vigencia,70
71,Machachi,En vigencia,71
72,Quito,No existe,72
73,Quito,En vigencia,73
74,Quito,En vigencia,74
75,Quito,En vigencia,75
76,San Miguel De Los Bancos,En vigencia,76
77,Quito,En vigencia,77
78,Quito,En vigencia,78
79,San Miguel De Los Bancos,En vigencia,79
80,Quito,En vigencia,80
81,Quito,En vigencia,81
82,Quito,En vigencia,82
83,Quito,En vigencia,83
84,Quito,En vigencia,84
85,Quito,En vigencia,85
86,Cayambe,En vigencia,86
87,Quito,En vigencia,87
88,Aloag,En vigencia,88
89,San Miguel De Los Bancos,En vigencia,89
90,Cayambe,En vigencia,90
91,Quito,En vigencia,91
92,Tabacundo,En vigencia,92
93,Quito,En vigencia,93
94,Quito,En vigencia,94
95,Quito,En vigencia,95
96,Quito,En vigencia,96
97,Quito,En vigencia,97
98,Quito,En vigencia,98
99,Quito,En vigencia,99
100,Quito,En vigencia,100
101,Machachi,En vigencia,101
102,Quito,En vigencia,102
103,Quito,En vigencia,103
104,Quito,En vigencia,104
105,Quito,En vigencia,105
106,Quito,En vigencia,106
107,Quito,En vigencia,107
108,Quito,En vigencia,108
109,Quito,En vigencia,109
110,Tabacundo,En vigencia,110
111,Quito,En vigencia,111
112,Aloag,En vigencia,112
113,Aloag,En vigencia,113
114,Aloag,En vigencia,114
115,Quito,En vigencia,115
116,Sangolquí,En vigencia,116
117,Quito,En vigencia,117
118,Quito,En vigencia,118
119,Sangolquí,En vigencia,119
120,Sangolquí,En vigencia,120
121,Tabacundo,En vigencia,121
122,Quito,En vigencia,122
123,Quito,En vigencia,123
124,Quito,En vigencia,124
125,Quito,En vigencia,125
126,Quito,En vigencia,126
127,Tabacundo,En vigencia,127
128,Quito,En vigencia,128
129,Aloag,En vigencia,129
130,Machachi,En vigencia,130
131,Sangolquí,En vigencia,131
132,Quito,En vigencia,132
133,Quito,En vigencia,133
134,Quito,En vigencia,134
135,Quito,En vigencia,135
136,Quito,En vigencia,136
137,Cayambe,En vigencia,137
138,Quito,En vigencia,138
139,Quito,En vigencia,139
140,Quito,En vigencia,140
141,Quito,En vigencia,141
142,Quito,En vigencia,142
143,San Miguel De Los Bancos,En vigencia,143
144,Quito,En vigencia,144
145,Quito,En vigencia,145
146,Quito,En vigencia,146
147,Quito,En vigencia,147
148,Quito,En vigencia,148
149,Quito,En vigencia,149
150,Cayambe,En vigencia,150
151,Quito,En vigencia,151
152,Quito,En vigencia,152
153,Machachi,En vigencia,153
154,Quito,En vigencia,154
155,Quito,En vigencia,155
156,Quito,En vigencia,156
157,Quito,En vigencia,157
158,Quito,En vigencia,158
159,Tabacundo,En vigencia,159
160,Quito,En vigencia,160
161,Quito,En vigencia,161
162,Aloag,En vigencia,162
163,San Miguel De Los Bancos,En vigencia,163
164,Quito,En vigencia,164
165,Quito,En vigencia,165
166,Quito,En vigencia,166
167,Quito,En vigencia,167
168,Tabacundo,En vigencia,168
169,Quito,En vigencia,169
170,Quito,En vigencia,170
171,Aloag,En vigencia,171
172,Quito,En vigencia,172
173,Quito,En vigencia,173
174,Quito,En vigencia,174
175,Tabacundo,En vigencia,175
176,Quito,En vigencia,176
177,Quito,En vigencia,177
178,Quito,En vigencia,178
179,Quito,En vigencia,179
180,Tabacundo,En vigencia,180
181,Quito,En vigencia,181
182,Quito,En vigencia,182
183,Quito,En vigencia,183
184,Quito,En vigencia,184
185,San Miguel De Los Bancos,En vigencia,185
186,Quito,En vigencia,186
187,Aloag,En vigencia,187
188,Quito,En vigencia,188
189,Quito,En vigencia,189
190,Quito,En vigencia,190
191,Quito,En vigencia,191
192,Quito,En vigencia,192
193,Quito,En vigencia,193
194,Quito,En vigencia,194
195,Quito,En vigencia,195
196,Quito,En vigencia,196
197,Quito,En vigencia,197
198,Quito,En vigencia,198
199,Quito,En vigencia,199
200,Quito,En vigencia,200
201,Quito,En vigencia,201
202,Quito,En vigencia,202
203,Quito,En vigencia,203
204,Quito,En vigencia,204
205,Quito,En vigencia,205
206,Quito,En vigencia,206
207,Quito,En vigencia,207
208,Aloag,En vigencia,208
209,Aloag,En vigencia,209
210,Quito,En vigencia,210
211,San Miguel De Los Bancos,En vigencia,211
212,Quito,En vigencia,212
213,Tabacundo,En vigencia,213
214,Quito,En vigencia,214
215,Quito,En vigencia,215
216,Quito,En vigencia,216
217,Sangolquí,En vigencia,217
218,Quito,En vigencia,218
219,Quito,En vigencia,219
220,Tabacundo,En vigencia,220
221,Cayambe,En vigencia,221
222,Cayambe,En vigencia,222
223,Quito,En vigencia,223
224,Quito,En vigencia,224
225,Quito,En vigencia,225
226,Quito,En vigencia,226
227,Machachi,En vigencia,227
228,Sangolquí,En vigencia,228
229,Quito,En vigencia,229
230,Quito,En vigencia,230
231,Aloag,En vigencia,231
232,Tabacundo,En vigencia,232
233,Quito,En vigencia,233
234,Tabacundo,En vigencia,234
235,Sangolquí,En vigencia,235
236,Sangolquí,En vigencia,236
237,Quito,En vigencia,237
238,Quito,En vigencia,238
239,Quito,En vigencia,239
240,Quito,En vigencia,240
241,Machachi,En vigencia,241
242,Quito,En vigencia,242
243,Cayambe,En vigencia,243
244,Quito,En vigencia,244
245,Quito,En vigencia,245
246,Quito,En vigencia,246
247,Aloag,En vigencia,247
248,Machachi,En vigencia,248
249,Quito,En vigencia,249
250,Quito,En vigencia,250
251,Quito,En vigencia,251
252,Quito,En vigencia,252
253,Sangolquí,En vigencia,253
